DATA,Quantidade
2019-01-01,5.0
2019-01-02,3.0
2019-01-03,8.0
2019-01-04,8.0
2019-01-05,6.0
2019-01-06,1.0
2019-01-07,9.0
2019-01-08,2.0
2019-01-09,7.0
2019-01-10,4.0
2019-01-11,4.0
2019-01-12,9.0
2019-01-13,4.0
2019-01-14,4.0
2019-01-15,2.0
2019-01-16,4.0
2019-01-17,4.0
2019-01-18,4.0
2019-01-19,4.0
2019-01-20,4.0
2019-01-21,8.0
2019-01-22,5.0
2019-01-23,3.0
2019-01-24,4.0
2019-01-25,7.0
2019-01-26,6.0
2019-01-27,6.0
2019-01-28,2.0
2019-01-29,5.0
2019-01-30,9.0
2019-01-31,6.0
2019-02-01,7.0
2019-02-02,5.0
2019-02-03,3.0
2019-02-04,11.0
2019-02-05,8.0
2019-02-06,8.0
2019-02-07,7.0
2019-02-08,10.0
2019-02-09,4.0
2019-02-10,7.0
2019-02-11,9.0
2019-02-12,9.0
2019-02-13,5.0
2019-02-14,17.0
2019-02-15,11.0
2019-02-16,6.0
2019-02-17,3.0
2019-02-18,1.0
2019-02-19,6.0
2019-02-20,5.0
2019-02-21,7.0
2019-02-22,6.0
2019-02-23,5.0
2019-02-24,1.0
2019-02-25,16.0
2019-02-26,5.0
2019-02-27,10.0
2019-02-28,4.0
2019-03-01,10.0
2019-03-02,5.0
2019-03-03,3.0
2019-03-04,6.0
2019-03-05,3.0
2019-03-06,3.0
2019-03-07,3.0
2019-03-08,7.0
2019-03-09,8.0
2019-03-10,3.0
2019-03-11,4.0
2019-03-12,5.0
2019-03-13,5.0
2019-03-14,5.0
2019-03-15,6.0
2019-03-16,5.0
2019-03-17,3.0
2019-03-18,9.0
2019-03-19,7.0
2019-03-20,7.0
2019-03-21,8.0
2019-03-22,6.0
2019-03-23,7.0
2019-03-24,3.0
2019-03-25,1.0
2019-03-26,8.0
2019-03-27,6.0
2019-03-28,9.0
2019-03-29,14.0
2019-03-30,6.0
2019-03-31,3.0
2019-04-01,4.0
2019-04-02,7.0
2019-04-03,3.0
2019-04-04,4.0
2019-04-05,4.0
2019-04-06,2.0
2019-04-07,5.0
2019-04-08,6.0
2019-04-09,9.0
2019-04-10,4.0
2019-04-11,4.0
2019-04-12,6.0
2019-04-13,3.0
2019-04-14,5.0
2019-04-15,9.0
2019-04-16,7.0
2019-04-17,5.0
2019-04-18,4.0
2019-04-19,5.0
2019-04-20,3.0
2019-04-21,0.0
2019-04-22,5.0
2019-04-23,3.0
2019-04-24,6.0
2019-04-25,4.0
2019-04-26,10.0
2019-04-27,13.0
2019-04-28,4.0
2019-04-29,7.0
2019-04-30,8.0
2019-05-01,5.0
2019-05-02,10.0
2019-05-03,9.0
2019-05-04,8.0
2019-05-05,6.0
2019-05-06,3.0
2019-05-07,5.0
2019-05-08,9.0
2019-05-09,6.0
2019-05-10,7.0
2019-05-11,6.0
2019-05-12,6.0
2019-05-13,3.0
2019-05-14,7.0
2019-05-15,11.0
2019-05-16,2.0
2019-05-17,11.0
2019-05-18,8.0
2019-05-19,5.0
2019-05-20,4.0
2019-05-21,4.0
2019-05-22,7.0
2019-05-23,9.0
2019-05-24,4.0
2019-05-25,7.0
2019-05-26,3.0
2019-05-27,6.0
2019-05-28,7.0
2019-05-29,5.0
2019-05-30,8.0
2019-05-31,6.0
2019-06-01,7.0
2019-06-02,8.0
2019-06-03,3.0
2019-06-04,8.0
2019-06-05,11.0
2019-06-06,9.0
2019-06-07,7.0
2019-06-08,4.0
2019-06-09,3.0
2019-06-10,8.0
2019-06-11,4.0
2019-06-12,5.0
2019-06-13,5.0
2019-06-14,9.0
2019-06-15,3.0
2019-06-16,5.0
2019-06-17,4.0
2019-06-18,6.0
2019-06-19,8.0
2019-06-20,3.0
2019-06-21,7.0
2019-06-22,3.0
2019-06-23,3.0
2019-06-24,2.0
2019-06-25,7.0
2019-06-26,4.0
2019-06-27,7.0
2019-06-28,11.0
2019-06-29,2.0
2019-06-30,1.0
2019-07-01,11.0
2019-07-02,8.0
2019-07-03,9.0
2019-07-04,6.0
2019-07-05,6.0
2019-07-06,3.0
2019-07-07,4.0
2019-07-08,5.0
2019-07-09,2.0
2019-07-10,7.0
2019-07-11,8.0
2019-07-12,1.0
2019-07-13,8.0
2019-07-14,3.0
2019-07-15,3.0
2019-07-16,3.0
2019-07-17,12.0
2019-07-18,7.0
2019-07-19,4.0
2019-07-20,3.0
2019-07-21,6.0
2019-07-22,5.0
2019-07-23,7.0
2019-07-24,3.0
2019-07-25,5.0
2019-07-26,4.0
2019-07-27,3.0
2019-07-28,5.0
2019-07-29,5.0
2019-07-30,5.0
2019-07-31,5.0
2019-08-01,4.0
2019-08-02,10.0
2019-08-03,1.0
2019-08-04,8.0
2019-08-05,6.0
2019-08-06,5.0
2019-08-07,8.0
2019-08-08,10.0
2019-08-09,8.0
2019-08-10,8.0
2019-08-11,4.0
2019-08-12,9.0
2019-08-13,6.0
2019-08-14,9.0
2019-08-15,9.0
2019-08-16,11.0
2019-08-17,4.0
2019-08-18,5.0
2019-08-19,7.0
2019-08-20,5.0
2019-08-21,9.0
2019-08-22,2.0
2019-08-23,1.0
2019-08-24,5.0
2019-08-25,1.0
2019-08-26,5.0
2019-08-27,9.0
2019-08-28,6.0
2019-08-29,4.0
2019-08-30,7.0
2019-08-31,3.0
2019-09-01,3.0
2019-09-02,5.0
2019-09-03,4.0
2019-09-04,6.0
2019-09-05,5.0
2019-09-06,10.0
2019-09-07,5.0
2019-09-08,4.0
2019-09-09,4.0
2019-09-10,8.0
2019-09-11,9.0
2019-09-12,7.0
2019-09-13,5.0
2019-09-14,6.0
2019-09-15,8.0
2019-09-16,9.0
2019-09-17,12.0
2019-09-18,4.0
2019-09-19,6.0
2019-09-20,7.0
2019-09-21,9.0
2019-09-22,2.0
2019-09-23,4.0
2019-09-24,7.0
2019-09-25,8.0
2019-09-26,4.0
2019-09-27,8.0
2019-09-28,7.0
2019-09-29,5.0
2019-09-30,7.0
2019-10-01,9.0
2019-10-02,8.0
2019-10-03,9.0
2019-10-04,2.0
2019-10-05,9.0
2019-10-06,5.0
2019-10-07,4.0
2019-10-08,6.0
2019-10-09,9.0
2019-10-10,7.0
2019-10-11,7.0
2019-10-12,5.0
2019-10-13,6.0
2019-10-14,13.0
2019-10-15,6.0
2019-10-16,6.0
2019-10-17,9.0
2019-10-18,8.0
2019-10-19,6.0
2019-10-20,6.0
2019-10-21,7.0
2019-10-22,3.0
2019-10-23,4.0
2019-10-24,6.0
2019-10-25,3.0
2019-10-26,3.0
2019-10-27,4.0
2019-10-28,8.0
2019-10-29,8.0
2019-10-30,4.0
2019-10-31,6.0
2019-11-01,8.0
2019-11-02,4.0
2019-11-03,4.0
2019-11-04,5.0
2019-11-05,6.0
2019-11-06,9.0
2019-11-07,9.0
2019-11-08,14.0
2019-11-09,6.0
2019-11-10,7.0
2019-11-11,5.0
2019-11-12,4.0
2019-11-13,16.0
2019-11-14,5.0
2019-11-15,3.0
2019-11-16,4.0
2019-11-17,6.0
2019-11-18,7.0
2019-11-19,6.0
2019-11-20,10.0
2019-11-21,6.0
2019-11-22,15.0
2019-11-23,3.0
2019-11-24,9.0
2019-11-25,5.0
2019-11-26,7.0
2019-11-27,6.0
2019-11-28,7.0
2019-11-29,10.0
2019-11-30,6.0
2019-12-01,6.0
2019-12-02,11.0
2019-12-03,11.0
2019-12-04,7.0
2019-12-05,4.0
2019-12-06,13.0
2019-12-07,7.0
2019-12-08,8.0
2019-12-09,9.0
2019-12-10,8.0
2019-12-11,8.0
2019-12-12,6.0
2019-12-13,4.0
2019-12-14,9.0
2019-12-15,5.0
2019-12-16,12.0
2019-12-17,8.0
2019-12-18,6.0
2019-12-19,8.0
2019-12-20,9.0
2019-12-21,8.0
2019-12-22,7.0
2019-12-23,9.0
2019-12-24,5.0
2019-12-25,6.0
2019-12-26,8.0
2019-12-27,6.0
2019-12-28,5.0
2019-12-29,4.0
2019-12-30,6.0
2019-12-31,3.0
